Account Name,January,February,March,April,May,June,July,August,September,October,November,December,Total,Margins,,
Audit Fees,$0.00,$0.00,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00",,,
Bank Fees and Taxes,$113.19,$168.40,$366.66,$308.33,$347.87,$322.29,$338.01,$179.14,$129.55,$129.66,$177.34,$179.79,"$2,760.23",,,
Paypal Charges,"$1,077.03","$1,388.32",$872.00,$680.88,$812.35,"$1,119.34","$1,394.83","$2,245.70","$2,150.12","$1,356.64","$1,606.15","$1,452.08","$16,155.44",,,
Card Dealing,"$1,310.00","$1,310.00","$1,310.00",$960.00,$501.30,"$1,468.50",$0.00,$0.00,$0.00,$0.00,$519.30,$375.60,"$7,754.70",,,
Cleaning,$158.99,$366.13,$0.00,$40.87,$74.50,$95.17,$0.00,$0.00,$0.00,$310.00,$0.00,$800.00,"$1,845.66",,,
Club Amenities - North Ryde/Willis,$0.00,$0.00,$651.47,$262.55,$414.80,$19.10,$0.00,$0.00,$0.00,$118.40,$12.01,$5.00,"$1,483.33",,,
Club Amenities - ELindfield,$342.49,$243.12,$215.61,$366.37,$657.64,$471.51,$0.00,$0.00,$0.00,$28.25,"$1,098.15",$803.75,"$4,226.89",,,
Club Removal Expenses,$0.00,"$3,472.10","$5,306.16",$0.00,$0.00,$0.00,"$10,000.00","$5,000.00","($1,636.36)",$0.00,$0.00,$0.00,"$22,141.90",,,
Club M'ship - Willoughby&ELind,$0.00,$0.00,$0.00,$0.00,$251.95,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$251.95,,,
Computer Miscellaneous,$175.77,"$1,237.08",$805.34,"$2,198.34",$368.34,$429.55,"$1,250.00",$20.99,$230.99,"$1,760.23","$3,679.21","$1,156.71","$13,312.55",,,
Depreciation  Equipment,$440.00,$440.00,$440.00,$440.00,$440.00,$440.00,$440.00,$440.00,$440.00,$440.00,$721.00,$720.74,"$5,841.74",,,
Depreciation Furn & Fittings,$193.40,$193.40,$193.40,$193.40,$193.40,$193.40,$193.40,$193.40,$193.40,$159.62,$0.00,$0.00,"$1,900.22",,,
Entertainment,$0.00,$0.00,$330.86,$0.00,$0.00,$555.81,$0.00,$0.00,$0.00,$681.82,"$3,539.06","$3,085.88","$8,193.43",,,
Insurance,"$11,873.45",$0.00,$0.00,$0.00,$0.00,$324.85,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,155.00","$15,353.30",,,
Legal and Professional Expense,$0.00,$800.00,$600.00,$0.00,$0.00,$0.00,$0.00,$250.00,"$8,250.00",$489.24,$0.00,$0.00,"$10,389.24",,,
Library and Textbooks,$0.00,$0.00,$828.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$828.00,,,
Long Service Leave,"$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$7,851.00","$18,851.00",,,
Contractor,$0.00,$0.00,$0.00,"$3,400.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,400.00",,,
"Office Expenses, Stationery",$130.93,$281.06,$475.37,$297.37,"$1,115.91",$543.44,$0.00,$0.00,$0.00,$0.00,$25.36,$0.00,"$2,869.44",,,
"Playing Cards, Boards pads etc",$734.00,$734.00,$734.00,$734.00,$734.00,$710.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,380.00",,,
Postage,$0.00,$0.00,$0.00,$0.00,$0.00,$330.75,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$330.75,,,
Photocopy Expenses,"$2,222.05","$2,222.05","$4,483.67","$3,213.87","$6,054.10","$1,890.00","$19,206.65","$1,890.00","$1,768.29","$1,946.76","$1,991.08","$1,940.54","$48,829.06",,,
Photocopying Clearing Account,"($1,332.05)",$0.00,"($1,332.05)","($1,332.05)","($2,664.11)",$0.00,"($17,316.65)",$0.00,$0.00,$0.00,$0.00,$0.00,"($23,976.91)",,,
JOBKEEPER WAGE SUBSIDY,"$4,871.30","$4,871.30","$4,871.30",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$14,613.90",,,
Rent Willoughby,$454.55,$454.55,"($2,386.36)",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"($1,477.26)",,,
Repairs & Maintenance,$0.00,$0.00,$287.27,$0.00,$0.00,$255.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$542.27,,,
Sundry Expense,$0.00,$0.00,$64.49,$0.00,$0.00,$329.55,$286.36,$636.36,$636.36,$686.36,"$1,540.91","$1,666.64","$5,847.03",,,
Superannuation,"$4,695.49","$4,125.59","$5,862.38","$4,670.25","$4,750.93","$5,709.66","$4,371.23","$4,943.82","$5,141.13","$5,185.03","$5,432.61","$4,137.79","$59,025.91",,,
Software Licence Fees,$0.00,$0.00,$0.00,$0.00,$0.00,$516.36,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$516.36,,,
Telephone & Internet,$233.53,$324.45,$351.15,$158.86,$237.88,$202.10,$94.49,$147.88,$214.95,$94.68,$220.78,$49.04,"$2,329.79",,,
Website,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$300.00,$0.00,$0.00,$300.00,,,
Uniforms and Tablecloths,$0.00,$0.00,$406.40,($203.20),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$203.20,,,
,,,,,,,,,,,,,,,,
Total Overhead Expenses,"$70,213.15","$49,186.73","$109,261.23","$43,896.14","$40,495.70","$55,938.28","$48,092.17","$42,774.81","$49,927.44","$49,640.61","$54,027.80","$56,911.49","$670,365.55",77.11%,,
,,,,,,,,,,,,,,,,
Nett Profit,"$20,448.92","$8,561.91","$79,134.53","$30,101.78","$30,227.02","$25,393.56","$2,008.18","$14,911.38","$60,648.95","$9,539.60","$18,012.96","$31,882.32","$160,671.25","$160,671.25",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
